id;title;description;publication_date;price
1;hacienda;quintessential arithmetic reciprocate;2024-09-17;802.46
2;worth;valid flout;2024-09-17;867.2
3;whether;diver excluding pack;2024-09-16;834.35
4;mammoth;so;2024-09-16;629.31
5;defray;finished unbearably;2024-09-16;892.03
6;antibody epee;colorful beautify;2024-09-16;305.87
7;following;disband absent;2024-09-16;824.63
8;subscription below carp;what;2024-09-17;668.81
9;transact;warped;2024-09-17;600.2
10;freeload credit;following quick-witted handsaw;2024-09-16;900.38
